Mortgage monthly repayments,dollars,%,Suburb
Median mortgage repayments,"1,582",--,Braidwood
Households where mortgage repayments are less than 30% of household income,--,93.6,Braidwood
Households with mortgage repayments greater than 30% of household income,--,6.4,Braidwood
Median mortgage repayments,"1,928",--,Karabar
Households where mortgage repayments are less than 30% of household income,--,94.1,Karabar
Households with mortgage repayments greater than 30% of household income,--,5.9,Karabar
Median mortgage repayments,"1,733",--,Queanbeyan
Households where mortgage repayments are less than 30% of household income,--,95.0,Queanbeyan
Households with mortgage repayments greater than 30% of household income,--,5.0,Queanbeyan
Median mortgage repayments,"1,842",--,Queanbeyan - East
Households where mortgage repayments are less than 30% of household income,--,95.8,Queanbeyan - East
Households with mortgage repayments greater than 30% of household income,--,4.2,Queanbeyan - East
Median mortgage repayments,"2,405",--,Queanbeyan Region
Households where mortgage repayments are less than 30% of household income,--,91.1,Queanbeyan Region
Households with mortgage repayments greater than 30% of household income,--,8.9,Queanbeyan Region
Median mortgage repayments,"2,167",--,Queanbeyan West - Jerrabomberra
Households where mortgage repayments are less than 30% of household income,--,93.5,Queanbeyan West - Jerrabomberra
Households with mortgage repayments greater than 30% of household income,--,6.5,Queanbeyan West - Jerrabomberra
Median mortgage repayments,910,--,Bombala
Households where mortgage repayments are less than 30% of household income,--,97.1,Bombala
Households with mortgage repayments greater than 30% of household income,--,2.9,Bombala
Median mortgage repayments,"1,186",--,Cooma
Households where mortgage repayments are less than 30% of household income,--,95.9,Cooma
Households with mortgage repayments greater than 30% of household income,--,4.1,Cooma
Median mortgage repayments,"1,560",--,Cooma Region
Households where mortgage repayments are less than 30% of household income,--,92.5,Cooma Region
Households with mortgage repayments greater than 30% of household income,--,7.5,Cooma Region
Median mortgage repayments,"1,500",--,Jindabyne - Berridale
Households where mortgage repayments are less than 30% of household income,--,94.2,Jindabyne - Berridale
Households with mortgage repayments greater than 30% of household income,--,5.8,Jindabyne - Berridale
Median mortgage repayments,"1,452",--,Batemans Bay
Households where mortgage repayments are less than 30% of household income,--,94.4,Batemans Bay
Households with mortgage repayments greater than 30% of household income,--,5.6,Batemans Bay
Median mortgage repayments,"1,517",--,Batemans Bay - South
Households where mortgage repayments are less than 30% of household income,--,94.3,Batemans Bay - South
Households with mortgage repayments greater than 30% of household income,--,5.7,Batemans Bay - South
Median mortgage repayments,"1,400",--,Bega - Tathra
Households where mortgage repayments are less than 30% of household income,--,94.2,Bega - Tathra
Households with mortgage repayments greater than 30% of household income,--,5.8,Bega - Tathra
Median mortgage repayments,"1,278",--,Bega-Eden Hinterland
Households where mortgage repayments are less than 30% of household income,--,92.4,Bega-Eden Hinterland
Households with mortgage repayments greater than 30% of household income,--,7.6,Bega-Eden Hinterland
Median mortgage repayments,"1,517",--,Broulee - Tomakin
Households where mortgage repayments are less than 30% of household income,--,95.2,Broulee - Tomakin
Households with mortgage repayments greater than 30% of household income,--,4.8,Broulee - Tomakin
Median mortgage repayments,"1,394",--,Eden
Households where mortgage repayments are less than 30% of household income,--,95.4,Eden
Households with mortgage repayments greater than 30% of household income,--,4.6,Eden
Median mortgage repayments,"1,300",--,Eurobodalla Hinterland
Households where mortgage repayments are less than 30% of household income,--,92.4,Eurobodalla Hinterland
Households with mortgage repayments greater than 30% of household income,--,7.6,Eurobodalla Hinterland
Median mortgage repayments,"1,500",--,Merimbula - Tura Beach
Households where mortgage repayments are less than 30% of household income,--,94.8,Merimbula - Tura Beach
